"gene_id","species","expression_id","id_type","source_info","gene_name","hog_id","og_id"
"CAGL0A01199g","cg","CAGL0A01199g","CAGL0","original","DIP5","N1.HOG0000993","OG0000756"
"CAGL0A01221g","cg","CAGL0A01221g","CAGL0","original","","N1.HOG0000784","OG0000552"
"CAGL0A01243g","cg","CAGL0A01243g","CAGL0","original","GIT1","N1.HOG0000350","OG0000198"
"CAGL0A01284g","cg","CAGL0A01284g","CAGL0","original","EPA10","N1.HOG0000000","OG0000000"
"CAGL0A01325g","cg","CAGL0A01325g","CAGL0","original","PGD1","N1.HOG0004302","OG0004065"
"CAGL0A01366g","cg","CAGL0A01366g","CAGL0","original","EPA9","N1.HOG0000000","OG0000000"
"CAGL0A01408g","cg","CAGL0A01408g","CAGL0","original","","N1.HOG0004302","OG0004065"
"CAGL0A01430g","cg","CAGL0A01430g","CAGL0","original","TRP5","N1.HOG0002578","OG0002338"
"CAGL0A01452g","cg","CAGL0A01452g","CAGL0","original","","N1.HOG0002211","OG0001971"
"CAGL0A01474g","cg","CAGL0A01474g","CAGL0","original","","N1.HOG0000720","OG0000491"
"CAGL0A01540g","cg","CAGL0A01540g","CAGL0","original","","N1.HOG0001769","OG0001529"
"CAGL0A01562g","cg","CAGL0A01562g","CAGL0","original","","N1.HOG0001227","OG0000988"
"CAGL0A01584g","cg","CAGL0A01584g","CAGL0","original","","N1.HOG0004816","OG0004584"
"CAGL0A01606g","cg","CAGL0A01606g","CAGL0","original","","N1.HOG0004117","OG0003881"
"CAGL0A01628g","cg","CAGL0A01628g","CAGL0","original","MIG1","N1.HOG0000226","OG0000131"
"CAGL0A01650g","cg","CAGL0A01650g","CAGL0","original","","N1.HOG0001222","OG0000983"
"CAGL0A01672g","cg","CAGL0A01672g","CAGL0","original","","N1.HOG0003083","OG0002843"
"CAGL0A01694g","cg","CAGL0A01694g","CAGL0","original","","N1.HOG0004447","OG0004211"
"CAGL0A01716g","cg","CAGL0A01716g","CAGL0","original","","N1.HOG0002040","OG0001800"
"CAGL0A01738g","cg","CAGL0A01738g","CAGL0","original","","N1.HOG0000354","OG0000200"
"CAGL0A01760g","cg","CAGL0A01760g","CAGL0","original","","N1.HOG0000781","OG0000549"
"CAGL0A01782g","cg","CAGL0A01782g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A01804g","cg","CAGL0A01804g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A01826g","cg","CAGL0A01826g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A01848g","cg","CAGL0A01848g","CAGL0","original","","N1.HOG0001814","OG0001574"
"CAGL0A01870g","cg","CAGL0A01870g","CAGL0","original","","N1.HOG0004303","OG0004066"
"CAGL0A01914g","cg","CAGL0A01914g","CAGL0","original","","N1.HOG0003557","OG0003315"
"CAGL0A01958g","cg","CAGL0A01958g","CAGL0","original","","N1.HOG0001720","OG0001480"
"CAGL0A01980g","cg","CAGL0A01980g","CAGL0","original","","N1.HOG0003600","OG0003358"
"CAGL0A02002g","cg","CAGL0A02002g","CAGL0","original","","N1.HOG0004304","OG0004067"
"CAGL0A02024g","cg","CAGL0A02024g","CAGL0","original","","N1.HOG0004817","OG0004585"
"CAGL0A02046g","cg","CAGL0A02046g","CAGL0","original","","N1.HOG0000181","OG0000103"
"CAGL0A02090g","cg","CAGL0A02090g","CAGL0","original","","N1.HOG0001434","OG0001194"
"CAGL0A02112g","cg","CAGL0A02112g","CAGL0","original","","N1.HOG0001759","OG0001519"
"CAGL0A02134g","cg","CAGL0A02134g","CAGL0","original","","N1.HOG0004448","OG0004212"
"CAGL0A02145g","cg","CAGL0A02145g","CAGL0","original","","N1.HOG0000576","OG0000357"
"CAGL0A02189g","cg","CAGL0A02189g","CAGL0","original","","N1.HOG0000781","OG0000549"
"CAGL0A02211g","cg","CAGL0A02211g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A02233g","cg","CAGL0A02233g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A02255g","cg","CAGL0A02255g","CAGL0","original","","N1.HOG0004210","OG0003972"
"CAGL0A02299g","cg","CAGL0A02299g","CAGL0","original","","N1.HOG0004210","OG0003972"
"CAGL0A02321g","cg","CAGL0A02321g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A02365g","cg","CAGL0A02365g","CAGL0","original","","N1.HOG0002500","OG0002260"
"CAGL0A02387g","cg","CAGL0A02387g","CAGL0","original","","N1.HOG0001776","OG0001536"
"CAGL0A02409g","cg","CAGL0A02409g","CAGL0","original","","N1.HOG0000798","OG0000566"
"CAGL0A02431g","cg","CAGL0A02431g","CAGL0","original","YPS7","N1.HOG0001006","OG0000769"
"CAGL0A02475g","cg","CAGL0A02475g","CAGL0","original","","N1.HOG0004449","OG0004213"
"CAGL0A02486g","cg","CAGL0A02486g","CAGL0","original","","N1.HOG0000200","OG0000113"
"CAGL0A02508g","cg","CAGL0A02508g","CAGL0","original","","N1.HOG0002104","OG0001864"
"CAGL0A02530g","cg","CAGL0A02530g","CAGL0","original","","N1.HOG0000817","OG0000585"
"CAGL0A02552g","cg","CAGL0A02552g","CAGL0","original","","N1.HOG0000399","OG0000226"
"CAGL0A02574g","cg","CAGL0A02574g","CAGL0","original","","N1.HOG0002204","OG0001964"
"CAGL0A02596g","cg","CAGL0A02596g","CAGL0","original","","N1.HOG0004450","OG0004214"
"CAGL0A02618g","cg","CAGL0A02618g","CAGL0","original","","N1.HOG0003370","OG0003130"
"CAGL0A02629g","cg","CAGL0A02629g","CAGL0","original","","N1.HOG0001041","OG0000804"
"CAGL0A02651g","cg","CAGL0A02651g","CAGL0","original","","N1.HOG0003454","OG0003214"
"CAGL0A02673g","cg","CAGL0A02673g","CAGL0","original","","N1.HOG0002518","OG0002278"
"CAGL0A02695g","cg","CAGL0A02695g","CAGL0","original","","N1.HOG0003440","OG0003200"
"CAGL0A02706g","cg","CAGL0A02706g","CAGL0","original","","N1.HOG0002440","OG0002200"
"CAGL0A02728g","cg","CAGL0A02728g","CAGL0","original","","N1.HOG0003332","OG0003092"
"CAGL0A02750g","cg","CAGL0A02750g","CAGL0","original","","N1.HOG0001837","OG0001597"
"CAGL0A02772g","cg","CAGL0A02772g","CAGL0","original","","N1.HOG0003891","OG0003652"
"CAGL0A02794g","cg","CAGL0A02794g","CAGL0","original","","N1.HOG0003988","OG0003749"
"CAGL0A02816g","cg","CAGL0A02816g","CAGL0","original","","N1.HOG0000150","OG0000085"
"CAGL0A02838g","cg","CAGL0A02838g","CAGL0","original","","N1.HOG0004451","OG0004215"
"CAGL0A02860g","cg","CAGL0A02860g","CAGL0","original","","N1.HOG0004184","OG0003947"
"CAGL0A02882g","cg","CAGL0A02882g","CAGL0","original","","N1.HOG0003736","OG0003497"
"CAGL0A02904g","cg","CAGL0A02904g","CAGL0","original","","N1.HOG0002248","OG0002008"
"CAGL0A02926g","cg","CAGL0A02926g","CAGL0","original","","N1.HOG0001331","OG0001090"
"CAGL0A02948g","cg","CAGL0A02948g","CAGL0","original","","N1.HOG0001375","OG0001135"
"CAGL0A02970g","cg","CAGL0A02970g","CAGL0","original","","N1.HOG0001651","OG0001411"
"CAGL0A02981g","cg","CAGL0A02981g","CAGL0","original","",NA,NA
"CAGL0A02992g","cg","CAGL0A02992g","CAGL0","original","","N1.HOG0002045","OG0001805"
"CAGL0A03014g","cg","CAGL0A03014g","CAGL0","original","","N1.HOG0001796","OG0001556"
"CAGL0A03036g","cg","CAGL0A03036g","CAGL0","original","","N1.HOG0003114","OG0002874"
"CAGL0A03051g","cg","CAGL0A03051g","CAGL0","original","","N1.HOG0003987","OG0003748"
"CAGL0A03058g","cg","CAGL0A03058g","CAGL0","original","","N1.HOG0000569","OG0000350"
"CAGL0A03080g","cg","CAGL0A03080g","CAGL0","original","","N1.HOG0004159","OG0003922"
"CAGL0A03102g","cg","CAGL0A03102g","CAGL0","original","ARO10","N1.HOG0001289","OG0001048"
"CAGL0A03117g","cg","CAGL0A03117g","CAGL0","original","","N1.HOG0001166","OG0000927"
"CAGL0A03146g","cg","CAGL0A03146g","CAGL0","original","","N1.HOG0004305","OG0004068"
"CAGL0A03168g","cg","CAGL0A03168g","CAGL0","original","","N1.HOG0000502","OG0000295"
"CAGL0A03190g","cg","CAGL0A03190g","CAGL0","original","","N1.HOG0004452","OG0004216"
"CAGL0A03212g","cg","CAGL0A03212g","CAGL0","original","","N1.HOG0004211","OG0003973"
"CAGL0A03234g","cg","CAGL0A03234g","CAGL0","original","EFT2","N1.HOG0000886","OG0000653"
"CAGL0A03256g","cg","CAGL0A03256g","CAGL0","original","","N1.HOG0002479","OG0002239"
"CAGL0A03278g","cg","CAGL0A03278g","CAGL0","original","","N1.HOG0001240","OG0001001"
"CAGL0A03300g","cg","CAGL0A03300g","CAGL0","original","","N1.HOG0002263","OG0002023"
"CAGL0A03322g","cg","CAGL0A03322g","CAGL0","original","","N1.HOG0002098","OG0001858"
"CAGL0A03344g","cg","CAGL0A03344g","CAGL0","original","","N1.HOG0000597","OG0000377"
"CAGL0A03366g","cg","CAGL0A03366g","CAGL0","original","","N1.HOG0001218","OG0000979"
"CAGL0A03388g","cg","CAGL0A03388g","CAGL0","original","","N1.HOG0001265","OG0001024"
"CAGL0A03410g","cg","CAGL0A03410g","CAGL0","original","","N1.HOG0000543","OG0000327"
"CAGL0A03432g","cg","CAGL0A03432g","CAGL0","original","","N1.HOG0002382","OG0002142"
"CAGL0A03454g","cg","CAGL0A03454g","CAGL0","original","","N1.HOG0003290","OG0003050"
"CAGL0A03476g","cg","CAGL0A03476g","CAGL0","original","","N1.HOG0000078","OG0000041"
"CAGL0A03498g","cg","CAGL0A03498g","CAGL0","original","","N1.HOG0004818","OG0004586"
"CAGL0A03542g","cg","CAGL0A03542g","CAGL0","original","COX12","N1.HOG0002842","OG0002602"
"CAGL0A03564g","cg","CAGL0A03564g","CAGL0","original","","N1.HOG0004306","OG0004069"
"CAGL0A03586g","cg","CAGL0A03586g","CAGL0","original","","N1.HOG0004453","OG0004217"
"CAGL0A03608g","cg","CAGL0A03608g","CAGL0","original","","N1.HOG0005897","OG0005761"
"CAGL0A03630g","cg","CAGL0A03630g","CAGL0","original","","N1.HOG0002590","OG0002350"
"CAGL0A03652g","cg","CAGL0A03652g","CAGL0","original","","N1.HOG0002524","OG0002284"
"CAGL0A03674g","cg","CAGL0A03674g","CAGL0","original","","N1.HOG0001950","OG0001710"
"CAGL0A03696g","cg","CAGL0A03696g","CAGL0","original","","N1.HOG0000555","OG0000337"
"CAGL0A03718g","cg","CAGL0A03718g","CAGL0","original","","N1.HOG0003750","OG0003511"
"CAGL0A03740g","cg","CAGL0A03740g","CAGL0","original","","N1.HOG0000229","OG0000133"
"CAGL0A03784g","cg","CAGL0A03784g","CAGL0","original","","N1.HOG0000246","OG0000142"
"CAGL0A03806g","cg","CAGL0A03806g","CAGL0","original","","N1.HOG0001607","OG0001367"
"CAGL0A03828g","cg","CAGL0A03828g","CAGL0","original","","N1.HOG0002582","OG0002342"
"CAGL0A03872g","cg","CAGL0A03872g","CAGL0","original","","N1.HOG0001334","OG0001093"
"CAGL0A03883g","cg","CAGL0A03883g","CAGL0","original","","N1.HOG0005533","OG0005356"
"CAGL0A03905g","cg","CAGL0A03905g","CAGL0","original","","N1.HOG0004060","OG0003821"
"CAGL0A03927g","cg","CAGL0A03927g","CAGL0","original","","N1.HOG0002674","OG0002434"
"CAGL0A03949g","cg","CAGL0A03949g","CAGL0","original","","N1.HOG0003500","OG0003258"
"CAGL0A03971g","cg","CAGL0A03971g","CAGL0","original","","N1.HOG0002745","OG0002505"
"CAGL0A03993g","cg","CAGL0A03993g","CAGL0","original","","N1.HOG0003820","OG0003581"
"CAGL0A04015g","cg","CAGL0A04015g","CAGL0","original","","N1.HOG0001532","OG0001292"
"CAGL0A04037g","cg","CAGL0A04037g","CAGL0","original","","N1.HOG0003208","OG0002968"
"CAGL0A04059g","cg","CAGL0A04059g","CAGL0","original","NMT1","N1.HOG0001895","OG0001655"
"CAGL0A04081g","cg","CAGL0A04081g","CAGL0","original","","N1.HOG0004454","OG0004218"
"CAGL0A04103g","cg","CAGL0A04103g","CAGL0","original","","N1.HOG0003042","OG0002802"
"CAGL0A04125g","cg","CAGL0A04125g","CAGL0","original","","N1.HOG0001552","OG0001312"
"CAGL0A04147g","cg","CAGL0A04147g","CAGL0","original","PEX13","N1.HOG0003019","OG0002779"
"CAGL0A04169g","cg","CAGL0A04169g","CAGL0","original","","N1.HOG0004819","OG0004587"
"CAGL0A04191g","cg","CAGL0A04191g","CAGL0","original","","N1.HOG0000666","OG0000440"
"CAGL0A04213g","cg","CAGL0A04213g","CAGL0","original","","N1.HOG0000722","OG0000493"
"CAGL0A04235g","cg","CAGL0A04235g","CAGL0","original","","N1.HOG0002009","OG0001769"
"CAGL0A04257g","cg","CAGL0A04257g","CAGL0","original","","N1.HOG0000654","OG0000430"
"CAGL0A04279g","cg","CAGL0A04279g","CAGL0","original","","N1.HOG0002119","OG0001879"
"CAGL0A04301g","cg","CAGL0A04301g","CAGL0","original","","N1.HOG0000649","OG0000425"
"CAGL0A04323g","cg","CAGL0A04323g","CAGL0","original","","N1.HOG0002423","OG0002183"
"CAGL0A04345g","cg","CAGL0A04345g","CAGL0","original","","N1.HOG0002114","OG0001874"
"CAGL0A04367g","cg","CAGL0A04367g","CAGL0","original","","N1.HOG0000974","OG0000737"
"CAGL0A04389g","cg","CAGL0A04389g","CAGL0","original","","N1.HOG0001397","OG0001157"
"CAGL0A04411g","cg","CAGL0A04411g","CAGL0","original","","N1.HOG0002436","OG0002196"
"CAGL0A04433g","cg","CAGL0A04433g","CAGL0","original","","N1.HOG0000568","OG0000349"
"CAGL0A04455g","cg","CAGL0A04455g","CAGL0","original","","N1.HOG0001888","OG0001648"
"CAGL0A04477g","cg","CAGL0A04477g","CAGL0","original","","N1.HOG0000665","OG0000439"
"CAGL0A04499g","cg","CAGL0A04499g","CAGL0","original","","N1.HOG0002030","OG0001790"
"CAGL0A04521g","cg","CAGL0A04521g","CAGL0","original","","N1.HOG0001138","OG0000899"
"CAGL0A04543g","cg","CAGL0A04543g","CAGL0","original","","N1.HOG0004204","OG0003967"
"CAGL0A04565g","cg","CAGL0A04565g","CAGL0","original","SWI4","N1.HOG0003973","OG0003734"
"CAGL0A04587g","cg","CAGL0A04587g","CAGL0","original","","N1.HOG0002923","OG0002683"
"CAGL0A04631g","cg","CAGL0A04631g","CAGL0","original","","N1.HOG0004455","OG0004219"
"CAGL0A04653g","cg","CAGL0A04653g","CAGL0","original","","N1.HOG0002507","OG0002267"
"CAGL0A04675g","cg","CAGL0A04675g","CAGL0","original","","N1.HOG0003805","OG0003566"
"CAGL0A04697g","cg","CAGL0A04697g","CAGL0","original","","N1.HOG0003215","OG0002975"
"CAGL0A04719g","cg","CAGL0A04719g","CAGL0","original","","N1.HOG0001765","OG0001525"
"CAGL0A04741g","cg","CAGL0A04741g","CAGL0","original","","N1.HOG0001467","OG0001227"
"CAGL0A04785g","cg","CAGL0A04785g","CAGL0","original","RTG2","N1.HOG0004307","OG0004070"
"CAGL0A04807g","cg","CAGL0A04807g","CAGL0","original","","N1.HOG0002185","OG0001945"
"CAGL0A04829g","cg","CAGL0A04829g","CAGL0","original","","N1.HOG0000736","OG0000506"
"CAGL0B00264g","cg","CAGL0B00264g","CAGL0","original","","N1.HOG0004309","OG0004072"
"CAGL0B00286g","cg","CAGL0B00286g","CAGL0","original","","N1.HOG0000357","OG0000202"
"CAGL0B00308g","cg","CAGL0B00308g","CAGL0","original","","N1.HOG0004456","OG0004220"
"CAGL0B00330g","cg","CAGL0B00330g","CAGL0","original","","N1.HOG0002460","OG0002220"
"CAGL0B00352g","cg","CAGL0B00352g","CAGL0","original","","N1.HOG0002607","OG0002367"
"CAGL0B00374g","cg","CAGL0B00374g","CAGL0","original","","N1.HOG0005534","OG0005357"
"CAGL0B00396g","cg","CAGL0B00396g","CAGL0","original","","N1.HOG0002290","OG0002050"
"CAGL0B00418g","cg","CAGL0B00418g","CAGL0","original","","N1.HOG0002153","OG0001913"
"CAGL0B00440g","cg","CAGL0B00440g","CAGL0","original","","N1.HOG0004021","OG0003782"
"CAGL0B00462g","cg","CAGL0B00462g","CAGL0","original","","N1.HOG0000709","OG0000480"
"CAGL0B00484g","cg","CAGL0B00484g","CAGL0","original","","N1.HOG0002878","OG0002638"
"CAGL0B00506g","cg","CAGL0B00506g","CAGL0","original","","N1.HOG0002808","OG0002568"
"CAGL0B00528g","cg","CAGL0B00528g","CAGL0","original","","N1.HOG0004310","OG0004073"
"CAGL0B00550g","cg","CAGL0B00550g","CAGL0","original","","N1.HOG0001777","OG0001537"
"CAGL0B00594g","cg","CAGL0B00594g","CAGL0","original","","N1.HOG0004820","OG0004588"
"CAGL0B00616g","cg","CAGL0B00616g","CAGL0","original","","N1.HOG0000097","OG0000050"
"CAGL0B00638g","cg","CAGL0B00638g","CAGL0","original","","N1.HOG0004072","OG0003833"
"CAGL0B00660g","cg","CAGL0B00660g","CAGL0","original","","N1.HOG0001981","OG0001741"
"CAGL0B00682g","cg","CAGL0B00682g","CAGL0","original","","N1.HOG0002676","OG0002436"
"CAGL0B00704g","cg","CAGL0B00704g","CAGL0","original","PDI1","N1.HOG0000592","OG0000372"
"CAGL0B00715g","cg","CAGL0B00715g","CAGL0","original","",NA,NA
"CAGL0B00726g","cg","CAGL0B00726g","CAGL0","original","","N1.HOG0005898","OG0005762"
"CAGL0B00748g","cg","CAGL0B00748g","CAGL0","original","","N1.HOG0002762","OG0002522"
"CAGL0B00770g","cg","CAGL0B00770g","CAGL0","original","AUT4","N1.HOG0004311","OG0004074"
"CAGL0B00792g","cg","CAGL0B00792g","CAGL0","original","","N1.HOG0000429","OG0000245"
"CAGL0B00814g","cg","CAGL0B00814g","CAGL0","original","","N1.HOG0001870","OG0001630"
"CAGL0B00836g","cg","CAGL0B00836g","CAGL0","original","","N1.HOG0004024","OG0003785"
"CAGL0B00858g","cg","CAGL0B00858g","CAGL0","original","","N1.HOG0001795","OG0001555"
"CAGL0B00880g","cg","CAGL0B00880g","CAGL0","original","","N1.HOG0002033","OG0001793"
"CAGL0B00902g","cg","CAGL0B00902g","CAGL0","original","HIS4","N1.HOG0002328","OG0002088"
"CAGL0B00924g","cg","CAGL0B00924g","CAGL0","original","","N1.HOG0002548","OG0002308"
"CAGL0B00946g","cg","CAGL0B00946g","CAGL0","original","","N1.HOG0004821","OG0004589"
"CAGL0B00968g","cg","CAGL0B00968g","CAGL0","original","","N1.HOG0004056","OG0003817"
"CAGL0B00990g","cg","CAGL0B00990g","CAGL0","original","HBN1","N1.HOG0004457","OG0004221"
"CAGL0B01012g","cg","CAGL0B01012g","CAGL0","original","","N1.HOG0000066","OG0000034"
"CAGL0B01078g","cg","CAGL0B01078g","CAGL0","original","","N1.HOG0000442","OG0000255"
"CAGL0B01100g","cg","CAGL0B01100g","CAGL0","original","","N1.HOG0001122","OG0000883"
"CAGL0B01122g","cg","CAGL0B01122g","CAGL0","original","SAM1","N1.HOG0000631","OG0000410"
"CAGL0B01144g","cg","CAGL0B01144g","CAGL0","original","","N1.HOG0002495","OG0002255"
"CAGL0B01166g","cg","CAGL0B01166g","CAGL0","original","SWI6","N1.HOG0001905","OG0001665"
"CAGL0B01188g","cg","CAGL0B01188g","CAGL0","original","","N1.HOG0000859","OG0000627"
"CAGL0B01203g","cg","CAGL0B01203g","CAGL0","original","","N1.HOG0001221","OG0000982"
"CAGL0B01232g","cg","CAGL0B01232g","CAGL0","original","EMG1","N1.HOG0001604","OG0001364"
"CAGL0B01254g","cg","CAGL0B01254g","CAGL0","original","","N1.HOG0001269","OG0001028"
"CAGL0B01287g","cg","CAGL0B01287g","CAGL0","original","BUD5","N1.HOG0001340","OG0001099"
"CAGL0B01331g","cg","CAGL0B01331g","CAGL0","original","","N1.HOG0001127","OG0000888"
"CAGL0B01353g","cg","CAGL0B01353g","CAGL0","original","SPT20","N1.HOG0001096","OG0000857"
"CAGL0B01375g","cg","CAGL0B01375g","CAGL0","original","","N1.HOG0000837","OG0000605"
"CAGL0B01397g","cg","CAGL0B01397g","CAGL0","original","NOP8","N1.HOG0001332","OG0001091"
"CAGL0B01419g","cg","CAGL0B01419g","CAGL0","original","RIB4","N1.HOG0003013","OG0002773"
"CAGL0B01441g","cg","CAGL0B01441g","CAGL0","original","","N1.HOG0000864","OG0000632"
"CAGL0B01463g","cg","CAGL0B01463g","CAGL0","original","","N1.HOG0002623","OG0002383"
"CAGL0B01485g","cg","CAGL0B01485g","CAGL0","original","","N1.HOG0003839","OG0003600"
"CAGL0B01507g","cg","CAGL0B01507g","CAGL0","original","ARG8","N1.HOG0003435","OG0003195"
"CAGL0B01529g","cg","CAGL0B01529g","CAGL0","original","PEX7","N1.HOG0002572","OG0002332"
"CAGL0B01551g","cg","CAGL0B01551g","CAGL0","original","","N1.HOG0001438","OG0001198"
"CAGL0B01573g","cg","CAGL0B01573g","CAGL0","original","MTQ2","N1.HOG0002402","OG0002162"
"CAGL0B01589g","cg","CAGL0B01589g","CAGL0","original","","N1.HOG0003907","OG0003668"
"CAGL0B01595g","cg","CAGL0B01595g","CAGL0","original","","N1.HOG0004822","OG0004590"
"CAGL0B01617g","cg","CAGL0B01617g","CAGL0","original","","N1.HOG0004458","OG0004222"
"CAGL0B01639g","cg","CAGL0B01639g","CAGL0","original","","N1.HOG0001768","OG0001528"
"CAGL0B01683g","cg","CAGL0B01683g","CAGL0","original","","N1.HOG0000956","OG0000720"
"CAGL0B01705g","cg","CAGL0B01705g","CAGL0","original","","N1.HOG0002960","OG0002720"
"CAGL0B01727g","cg","CAGL0B01727g","CAGL0","original","","N1.HOG0000465","OG0000270"
"CAGL0B01743g","cg","CAGL0B01743g","CAGL0","original","","N1.HOG0001180","OG0000941"
"CAGL0B01771g","cg","CAGL0B01771g","CAGL0","original","","N1.HOG0004459","OG0004223"
"CAGL0B01793g","cg","CAGL0B01793g","CAGL0","original","","N1.HOG0003765","OG0003526"
"CAGL0B01815g","cg","CAGL0B01815g","CAGL0","original","","N1.HOG0001621","OG0001381"
"CAGL0B01837g","cg","CAGL0B01837g","CAGL0","original","","N1.HOG0002096","OG0001856"
"CAGL0B01859g","cg","CAGL0B01859g","CAGL0","original","","N1.HOG0004312","OG0004075"
"CAGL0B01881g","cg","CAGL0B01881g","CAGL0","original","","N1.HOG0003265","OG0003025"
"CAGL0B01903g","cg","CAGL0B01903g","CAGL0","original","","N1.HOG0003397","OG0003157"
"CAGL0B01925g","cg","CAGL0B01925g","CAGL0","original","","N1.HOG0000626","OG0000405"
"CAGL0B01947g","cg","CAGL0B01947g","CAGL0","original","INO2","N1.HOG0004460","OG0004224"
"CAGL0B01969g","cg","CAGL0B01969g","CAGL0","original","","N1.HOG0004088","OG0003849"
"CAGL0B01991g","cg","CAGL0B01991g","CAGL0","original","","N1.HOG0001452","OG0001212"
"CAGL0B02013g","cg","CAGL0B02013g","CAGL0","original","","N1.HOG0001849","OG0001609"
